series_index,series_title,question_number,level,points,prompt,image_url,audio_url,image_local_path,audio_local_path,A,B,C,D,correct_answer_text,correct_letter
1,Série 1,1,A1,3,"Question 1 : Écoutez les 4 propositions, choisissez celle qui correspond à l’image",https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1766563928607-8alpbb.jpg,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563936066-lr33kk.mp3,tcf_oral_output\images\series_01_q01.jpg,tcf_oral_output\audios\series_01_q01.mp3,,,,,B,B
1,Série 1,2,A1,3,"Question 2 : Écoutez les 4 propositions, choisissez celle qui correspond à l’image",https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1766563928686-f54sfh.webp,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563931355-fkpiyw.mp3,tcf_oral_output\images\series_01_q02.webp,tcf_oral_output\audios\series_01_q02.mp3,,,,,D,D
1,Série 1,3,A1,3,Question 3 : Écoutez l’extrait sonore et les 4 propositions. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929522-rsylnq.mp3,,tcf_oral_output\audios\series_01_q03.mp3,,,,,C,C
1,Série 1,4,A1,3,Question 4 : Écoutez l’extrait sonore et les 4 propositions. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928580-p2d2wk.mp3,,tcf_oral_output\audios\series_01_q04.mp3,,,,,C,C
1,Série 1,5,A2,9,Question 5 : Écoutez l’extrait sonore et les 4 propositions. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929502-t0p6oe.mp3,,tcf_oral_output\audios\series_01_q05.mp3,,,,,B,B
1,Série 1,6,A2,9,Question 6 : Écoutez l’extrait sonore et les 4 propositions. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928506-lvvwqi.mp3,,tcf_oral_output\audios\series_01_q06.mp3,,,,,A,A
1,Série 1,7,A2,9,Question 7 : Écoutez l’extrait sonore et les 4 propositions. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928220-0llmtk.mp3,,tcf_oral_output\audios\series_01_q07.mp3,,,,,A,A
1,Série 1,8,A2,9,Question 8 : Écoutez l’extrait sonore et les 4 propositions. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928588-f1fb4v.mp3,,tcf_oral_output\audios\series_01_q08.mp3,,,,,A,A
1,Série 1,9,A2,9,Question 9 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928867-7hancy.mp3,,tcf_oral_output\audios\series_01_q09.mp3,Acheter des médicaments.,Envoyer une lettre.,Prendre un transport.,Voir un film.,Envoyer une lettre.,B
1,Série 1,10,A2,9,Question 10 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928707-180ybm.mp3,,tcf_oral_output\audios\series_01_q10.mp3,D’arriver en retard.,D’avoir une mauvaise note.,De manquer de temps.,De tomber malade.,D’avoir une mauvaise note.,B
