question_number,level,points,image,A,B,C,D,correct_answer_text,correct_letter
1,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886271-n3594b.png,Il dort,Il travaille,Il joue,Il mange,Il travaille,B
2,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886121-uvyusk.png,Annoncer un changement,Décrire un endroit,Donner un rendez-vous,Organiser une réunion,Annoncer un changement,A
3,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886061-5q6pyb.png,Professionnelles,Familiales,Amicales,Commerciales,Amicales,C
4,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886007-ss4lkg.png,Il va avoir de nouveaux horaires,Il va changer de propriétaire,Il va déménager en septembre,Il va fermer pendant l'été,Il va fermer pendant l'été,D
5,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886013-dhu2j3.png,Canadienne,Espagnole,Italienne,Mexicaine,Espagnole,B
6,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886685-7fuj33.png,Ils vont bientôt déménager,Ils vont faire des travaux,Ils vont organiser une soirée,Ils vont recevoir de la visite,Ils vont faire des travaux,B
7,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886250-50imx8.png,La retraite de ses parents,Son anniversaire de mariage,Un nouveau logement,Une création d’entreprise,Un nouveau logement,C
8,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886771-y79mh5.png,Offrir des emplois,Participer à un forum,Présenter leur action,Trouver de l’argent,Offrir des emplois,A
9,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194885621-jl3o6a.png,Un document professionnel,Un titre de transport,Une enveloppe timbrée,Une somme d’argent,Un document professionnel,A
10,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886109-4morb2.png,Des cours de cuisine,Des menus différents,Des plats à emporter,Des tickets bon marché,Des menus différents,B
11,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886841-o69a90.png,Un service de création de site,Une aide informatique rapide,Une formation sur Internet,Une publicité à faible coût,Une publicité à faible coût,D
12,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886679-nc17u6.png,Pour acheter des meubles de bibliothèque,Pour organiser un concours de lecture,Pour ouvrir un salon de thé littéraire,Pour s’installer dans un local plus vaste,Pour s’installer dans un local plus vaste,D
13,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194885828-hue7lp.png,Acheter du matériel,Appeler un réparateur,Imprimer un document,Noter un rendez-vous,Acheter du matériel,A
14,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194885997-ex0kpn.png,Fès,Casablanca,Marrakech,Tanger,Marrakech,C
