series_index,series_title,question_number,level,points,image_url,local_image_path,A,B,C,D,correct_answer_text,correct_letter
1,Série 1,1,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886271-n3594b.png,tcf_full_output\images\series_01_q01.png,Il dort,Il travaille,Il joue,Il mange,Il travaille,B
1,Série 1,2,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886121-uvyusk.png,tcf_full_output\images\series_01_q02.png,Annoncer un changement,Décrire un endroit,Donner un rendez-vous,Organiser une réunion,Annoncer un changement,A
1,Série 1,3,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886061-5q6pyb.png,tcf_full_output\images\series_01_q03.png,Professionnelles,Familiales,Amicales,Commerciales,Amicales,C
1,Série 1,4,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886007-ss4lkg.png,tcf_full_output\images\series_01_q04.png,Il va avoir de nouveaux horaires,Il va changer de propriétaire,Il va déménager en septembre,Il va fermer pendant l'été,Il va fermer pendant l'été,D
1,Série 1,5,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886013-dhu2j3.png,tcf_full_output\images\series_01_q05.png,Canadienne,Espagnole,Italienne,Mexicaine,Espagnole,B
1,Série 1,6,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886685-7fuj33.png,tcf_full_output\images\series_01_q06.png,Ils vont bientôt déménager,Ils vont faire des travaux,Ils vont organiser une soirée,Ils vont recevoir de la visite,Ils vont faire des travaux,B
1,Série 1,7,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886250-50imx8.png,tcf_full_output\images\series_01_q07.png,La retraite de ses parents,Son anniversaire de mariage,Un nouveau logement,Une création d’entreprise,Un nouveau logement,C
1,Série 1,8,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886771-y79mh5.png,tcf_full_output\images\series_01_q08.png,Offrir des emplois,Participer à un forum,Présenter leur action,Trouver de l’argent,Offrir des emplois,A
1,Série 1,9,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194885621-jl3o6a.png,tcf_full_output\images\series_01_q09.png,Un document professionnel,Un titre de transport,Une enveloppe timbrée,Une somme d’argent,Un document professionnel,A
1,Série 1,10,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886109-4morb2.png,tcf_full_output\images\series_01_q10.png,Des cours de cuisine,Des menus différents,Des plats à emporter,Des tickets bon marché,Des menus différents,B
1,Série 1,11,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886841-o69a90.png,tcf_full_output\images\series_01_q11.png,Un service de création de site,Une aide informatique rapide,Une formation sur Internet,Une publicité à faible coût,Une publicité à faible coût,D
1,Série 1,12,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886679-nc17u6.png,tcf_full_output\images\series_01_q12.png,Pour acheter des meubles de bibliothèque,Pour organiser un concours de lecture,Pour ouvrir un salon de thé littéraire,Pour s’installer dans un local plus vaste,Pour s’installer dans un local plus vaste,D
1,Série 1,13,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194885828-hue7lp.png,tcf_full_output\images\series_01_q13.png,Acheter du matériel,Appeler un réparateur,Imprimer un document,Noter un rendez-vous,Acheter du matériel,A
1,Série 1,14,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194885997-ex0kpn.png,tcf_full_output\images\series_01_q14.png,Fès,Casablanca,Marrakech,Tanger,Marrakech,C
